permno,date,prc,ret,vol,ticker
12742,2014-12-17,219.78,0.01953,1145334.0,LNKD
12742,2014-12-17,219.78,0.01953,1145334.0,LNKD
12742,2014-12-18,231.84,0.054873,2370353.0,LNKD
12742,2014-12-18,231.84,0.054873,2370353.0,LNKD
10107,2014-12-18,47.52,0.038916,40105650.0,MSFT
10107,2014-12-19,47.66,0.002946,64655070.0,MSFT
12742,2014-12-19,234.61,0.011948,3318527.0,LNKD
12742,2014-12-19,234.61,0.011948,3318527.0,LNKD
12742,2014-12-22,233.0,-0.006862,1403340.0,LNKD
12742,2014-12-22,233.0,-0.006862,1403340.0,LNKD
10107,2014-12-22,47.98,0.006714,26565984.0,MSFT
10107,2014-12-23,48.45,0.009796,24852217.0,MSFT
12742,2014-12-23,231.49001,-0.006481,1278463.0,LNKD
12742,2014-12-23,231.49001,-0.006481,1278463.0,LNKD
12742,2014-12-24,231.83,0.001469,478626.0,LNKD
10107,2014-12-24,48.14,-0.006398,11442790.0,MSFT
12742,2014-12-24,231.83,0.001469,478626.0,LNKD
10107,2014-12-26,47.88,-0.005401,13197817.0,MSFT
12742,2014-12-26,235.25,0.014752,794951.0,LNKD
12742,2014-12-26,235.25,0.014752,794951.0,LNKD
12742,2014-12-29,233.34,-0.008119,714943.0,LNKD
12742,2014-12-29,233.34,-0.008119,714943.0,LNKD
10107,2014-12-29,47.45,-0.008981,14439548.0,MSFT
12742,2014-12-30,232.67,-0.002871,533978.0,LNKD
12742,2014-12-30,232.67,-0.002871,533978.0,LNKD
10107,2014-12-30,47.02,-0.009062,16384692.0,MSFT
10107,2014-12-31,46.45,-0.012123,21552528.0,MSFT
12742,2014-12-31,229.71001,-0.012722,599819.0,LNKD
12742,2014-12-31,229.71001,-0.012722,599819.0,LNKD
12742,2015-01-02,229.64999,-0.000261,1203743.0,LNKD
12742,2015-01-02,229.64999,-0.000261,1203743.0,LNKD
10107,2015-01-02,46.76,0.006674,27913852.0,MSFT
10107,2015-01-05,46.325,-0.009303,39673865.0,MSFT
12742,2015-01-05,227.50999,-0.009319,1400562.0,LNKD
12742,2015-01-05,227.50999,-0.009319,1400562.0,LNKD
12742,2015-01-06,219.50999,-0.035163,2006546.0,LNKD
10107,2015-01-06,45.65,-0.014571,36447854.0,MSFT
12742,2015-01-06,219.50999,-0.035163,2006546.0,LNKD
10107,2015-01-07,46.23,0.012705,29222067.0,MSFT
12742,2015-01-07,222.16,0.012072,985016.0,LNKD
12742,2015-01-07,222.16,0.012072,985016.0,LNKD
10107,2015-01-08,47.59,0.029418,29645202.0,MSFT
12742,2015-01-08,227.05,0.022011,1293955.0,LNKD
12742,2015-01-08,227.05,0.022011,1293955.0,LNKD
12742,2015-01-09,227.13,0.000352,1517046.0,LNKD
10107,2015-01-09,47.19,-0.008405,23944181.0,MSFT
12742,2015-01-09,227.13,0.000352,1517046.0,LNKD
12742,2015-01-12,223.13,-0.017611,1654565.0,LNKD
10107,2015-01-12,46.6,-0.012503,23651887.0,MSFT
12742,2015-01-12,223.13,-0.017611,1654565.0,LNKD
10107,2015-01-13,46.355,-0.005257,35274601.0,MSFT
12742,2015-01-13,223.0,-0.000583,1583644.0,LNKD
12742,2015-01-13,223.0,-0.000583,1583644.0,LNKD
12742,2015-01-14,219.42999,-0.016009,1366306.0,LNKD
12742,2015-01-14,219.42999,-0.016009,1366306.0,LNKD
10107,2015-01-14,45.955,-0.008629,29719580.0,MSFT
12742,2015-01-15,213.21001,-0.028346,1370651.0,LNKD
12742,2015-01-15,213.21001,-0.028346,1370651.0,LNKD
